,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MRRF,0.13205739903648808,0.05227681121588202,1.2276273371095845,0.042583616082520905,0.9660334561147192,0.9999414166694955
MRPS9,0.5032287579257039,1.0248987219849885,0.8689493054985549,1.1794689465767607,0.23821149497276184,0.9999414166694955
MRPS7,0.4683592763908179,0.09065262587483158,0.7959935345338932,0.11388613341930558,0.9093280579720784,0.9999414166694955
MRPS6,0.8878848661947033,1.0216347599698863,0.5938688992665551,1.7203035236087194,0.08537728329502899,0.9999414166694955
MRPS5,0.27061237985375625,0.21439553771143063,1.1144719675521166,0.19237409639144176,0.8474491815160345,0.9999414166694955
MRPS36,0.4628760732350907,0.7528827407566815,0.8300824129213374,0.9069975812486323,0.3644080763042665,0.9999414166694955
MRPS35,0.568266878407722,1.0564010305059803,0.6746492166373637,1.565852304359549,0.11738319800194705,0.9999414166694955
MRPS34,0.47275293140097485,1.0603788955187667,0.7405738267076869,1.4318341497873521,0.15219129143632126,0.9999414166694955
MRPS33,0.42883104124219884,0.1918433742751791,0.761171636677891,0.25203694545486915,0.8010125070145464,0.9999414166694955
MRPS31,0.6009713291688163,-0.40437995697182366,0.7131647578084465,-0.5670217892068619,0.5706993779812115,0.9999414166694955
MRPS30,0.46579333690719354,0.813566839570417,0.9700723765612204,0.8386661235055523,0.4016566934826673,0.9999414166694955
MRPS28,0.28216176994029457,0.6554176890695436,1.2255166222251823,0.5348093017942877,0.5927817302739895,0.9999414166694955
MRPS27,0.5779043280086363,-0.8808101641990107,0.6599252903397019,-1.3347119395069802,0.18197064435082044,0.9999414166694955
MRPS26,0.4890122742537055,0.6399792664805747,0.8740083959049509,0.7322346895969325,0.4640253345093982,0.9999414166694955
MSRA,0.21914487233536897,-0.6227537420483813,1.2329953218755294,-0.50507388876472,0.6135069401564179,0.9999414166694955
MSNP1,0.3452912886669069,0.41594776431651587,0.9630388071454177,0.4319117373363629,0.6658055637314838,0.9999414166694955
MSN,3.7001681710334235,0.39585466687424997,0.24309916269436083,1.628367051892905,0.10344707957220116,0.9999414166694955
MSMO1,0.33612006366756036,0.1395609673593974,0.8613283076443213,0.16202993228109253,0.8712822827610543,0.9999414166694955
MSL3,0.7632562957937195,0.03631726146087721,0.5706163452446722,0.06364567325057063,0.9492523634439486,0.9999414166694955
MSL2,0.6263175481333754,-0.12855015697653882,0.7154876163718618,-0.1796678992550546,0.8574132959821561,0.9999414166694955
MSL1,0.4578582927436888,0.26871033845779996,0.7315537604949278,0.36731454743121783,0.7133844040791755,0.9999414166694955
MSI2,0.37968790754888043,-0.08665864128944492,0.8686613781078737,-0.09976113071609742,0.920533967250628,0.9999414166694955
MSH6,0.19429214020369226,-0.24713728401840712,1.1655478683916596,-0.2120352932045872,0.8320795002744708,0.9999414166694955
MSH3,0.29804522873200967,0.5294971528064816,0.943548733632682,0.5611762635385102,0.5746773826196623,0.9999414166694955
MSH2,0.5230999003744743,-0.2664075230841342,0.7715433931644827,-0.34529169123134423,0.7298750924461995,0.9999414166694955
MSANTD4,0.18571579299479296,-0.16418551894147845,1.227930299153459,-0.1337091519401946,0.8936325679516633,0.9999414166694955
MS4A7,0.5306215019467886,-1.172000244555086,0.8632059774021497,-1.357729528336057,0.1745495235155311,0.9999414166694955
MS4A6A,0.12380022357810003,-0.4216635378573864,1.7718682050434513,-0.23797680699792567,0.8118990828344395,0.9999414166694955
MRVI1-AS1,0.17135816893496494,-0.9520108681685925,1.5906646413303183,-0.5984987931663576,0.5495071639387895,0.9999414166694955
MT-RNR1,32.30254869766108,-0.0020390483198167776,0.06527014015162132,-0.031240140056082406,0.975078028389061,0.9999414166694955
MT-ND5,22.010923897587116,-0.0023525499387820215,0.08153703371622323,-0.028852532788593954,0.9769822031912551,0.9999414166694955
MT-ND4,36.53304276718106,-0.1210898684344701,0.06041962504860007,-2.0041479624719343,0.04505421293310709,0.9999414166694955
MT-ND3,29.50178015946528,-0.13261568571681576,0.06813551927479425,-1.946351728559806,0.05161250381359761,0.9999414166694955
MT-ND2,28.02877590399297,-0.1165199380753566,0.06931835766325019,-1.680939104781053,0.09277474332555205,0.9999414166694955
MT-CYB,31.496567212004198,-0.13417867473534012,0.06531263878998873,-2.0544059652342104,0.039936416196978484,0.9999414166694955
MT-CO3,34.12624670100862,-0.10447306875837059,0.062421555101212965,-1.6736697538049718,0.09419552128310178,0.9999414166694955
MT-CO1,36.165977271037335,-0.10938589866795272,0.060697521294254965,-1.8021477044781087,0.07152216992767152,0.9999414166694955
MSTO1,0.1349289466095349,-0.6829955843668014,2.005563999678987,-0.3405503810779025,0.7334420888689783,0.9999414166694955
MSS51,0.16171010704200472,-0.21807621436377836,1.6105661830063367,-0.13540344797052054,0.8922928981536506,0.9999414166694955
